Code,Company,City,Country
RUBU,RUBINO RS S.R.L.,MONOPOLI BA,Italy
RUNU,GEOTRANS,LE PORT CEDEX,Reunion
RURU,EESTI CHEM OU,TALLIN,Estonia
RUSU,BALTICA-TRANS LOGISTIC LLC,Saint-Petersburg,Russian Federation
RUVU,RUBANTRANS LTD,Kropyvnytskyi,Ukraine
RVHU,RAMA VESSEL HANDLERS PVT LTD,GANDHIDHAM,India
RWAU,TRISTAR CONTAINER SERVICES (ASIA) PVT. LTD.,CHENNAI,India
RWLU,ROYAL WOLF TRADING AUSTRALIA PTY LTD,GORDON,Australia
RWTU,ROYAL WOLF TRADING AUSTRALIA PTY LTD,GORDON,Australia
RWYU,AO AK ZHELEZNYE DOROGI YAKUTII,Aldan,Russian Federation
RXTU,"YANGZHOU RIXIN TONGYUN LOGISTIC EQUIPMENT CO., LTD.",Yangzhou,China
RYCU,C.A.K DE RIJKE BV,SPIJKENISSE,Netherlands
RYDU,"QINGDAO RUIYUAN DATONG CONTAINER CO., LTD",QINGDAO,China
RYLU,BEIJING RUI LI HENG YI LOGISTICS TECHNOLOGY PLC,Beijing,China
RZDU,PJSC TRANSCONTAINER,MOSCOW,Russian Federation
RZZU,JOINT STOCK COMPANY «RZD BUSINESS ASSET»,Moscow,Russian Federation
SABU,SOLARIS CHEMTECH INDUSTRIES LTD.,RATADIYA,India
SACU,WALLENIUS WILHELMSEN LOGISTICS AS,LYSAKER,Norway
SAEU,EDF,SAINT-DENIS,France
SAIU,STAR S.P.A.,LOCATE DI TRIULZI MI,Italy
SAJU,GOODRICH MARITIME LLC,"BUR DUBAI, DUBAI",United Arab Emirates
SALU,NTC TANK CONTAINER SERVICES BV,Rotterdam,Netherlands
SAMU,SAMUDA CHEMICAL COMPLEX LIMITED,Dhaka,Bangladesh
SANU,SAMSKIP HF,REYKJAVIK,Iceland
SAOU,ARMASUISSE,BERNE,Switzerland
SATU,DSV SPA,"PIOLTELLO, MI",Italy
SAVU,SAR TRASPORTI SCPA,RAVENNA,Italy
